PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Group,NumInGroup,FirstName,LastName,DeckCab,NumCab,SideCab,TotalBill,Hp_1,Hp_2,Hp_3,Cluster,Centroid0,Centroid1,Centroid2,Centroid3,Centroid4,Centroid5,Centroid6,Centroid7,Centroid8,Centroid9
0001_01,2,1.0,B/0/P,1,39.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,Maham,Ofracculy,B,0,P,0.0,0.0,0.0,0.0,1,2.9060841918117704,0.22985623259190213,13.38290428820631,2.0672867367000487,10.962066648945523,2.099067408729285,9.812617478734483,8.88362579461561,4.559777959695775,7.401847376850349
0002_01,1,0.0,F/0/S,1,24.0,0,109.0,9.0,25.0,549.0,44.0,1,2,1,Juanna,Vines,F,0,S,736.0,736.0,0.0,0.0,1,2.7033080655737627,0.4280562884677703,12.832983453625657,1.8771412249466672,10.82038155612925,2.0276791565818795,9.623209103036277,8.6870556134536,4.004837916984417,7.150544984794902
0003_01,2,0.0,A/0/S,1,58.0,1,43.0,3576.0,0.0,6715.0,49.0,0,3,1,Altark,Susent,A,0,S,10383.0,10383.0,0.0,0.0,8,6.0173047177050805,7.233671529993867,6.112070622752841,7.293877761893529,11.862596020892095,7.329785480013471,7.9664177706936385,9.1882025262248,3.0838973019234692,9.273125264780834
0003_02,2,0.0,A/0/S,1,33.0,1,0.0,1283.0,371.0,3329.0,193.0,0,3,2,Solam,Susent,A,0,S,5176.0,5176.0,0.0,0.0,8,3.01447057733875,3.4705341656907507,9.801293213072544,3.809013494559133,10.174931823326375,3.530922126125243,8.397334797083726,8.12251806502778,1.1536083579158152,7.507096273921391
0004_01,1,0.0,F/1/S,1,16.0,0,303.0,70.0,151.0,565.0,2.0,1,4,1,Willy,Santantines,F,1,S,1091.0,1091.0,0.0,0.0,1,2.650826088142158,0.6622395736031582,12.753292867776704,1.5636701845386443,10.570018476016239,1.8224966786830252,9.528771764394786,8.657748352527731,3.9392456300328176,6.816251739062249
0005_01,1,0.0,F/0/P,2,44.0,0,0.0,483.0,0.0,291.0,0.0,1,5,1,Sandie,Hinetthews,F,0,P,774.0,0.0,774.0,0.0,1,2.505276804078504,0.33856743036553605,12.968127475397289,2.025951297018666,10.858282741417362,2.059911157743433,9.38717914306379,8.688746448272104,4.166938747571016,7.306070773725318
0006_01,1,0.0,F/2/S,1,26.0,1,42.0,1539.0,3.0,0.0,0.0,1,6,1,Billex,Jacostaffey,F,2,S,1584.0,1584.0,0.0,0.0,1,1.9601101866906254,1.013900181549367,12.946271195699866,2.1268200682182963,10.786130157314991,2.2054087031911314,8.698192582322084,8.52755118480281,4.265442313758199,7.207337369808867
0006_02,1,1.0,G/0/S,1,28.0,0,0.0,0.0,0.0,0.0,0.0,1,6,2,Candra,Jacostaffey,G,0,S,0.0,0.0,0.0,0.0,1,2.9060841918117704,0.22985623259190213,13.38290428820631,2.0672867367000487,10.962066648945523,2.099067408729285,9.812617478734483,8.88362579461561,4.559777959695775,7.401847376850349
0007_01,1,0.0,F/3/S,1,35.0,0,0.0,785.0,17.0,216.0,0.0,1,7,1,Andona,Beston,F,3,S,1018.0,1018.0,0.0,0.0,1,2.3320063340708876,0.5045037432077198,12.948836861736776,2.039876433616763,10.804962719499704,2.0479685015238815,9.185768571341411,8.632516968698466,4.171631431017399,7.28442075902852
0008_01,2,1.0,B/1/P,3,14.0,0,0.0,0.0,0.0,0.0,0.0,1,8,1,Erraiam,Flatic,B,1,P,0.0,0.0,0.0,0.0,1,2.9060841918117704,0.22985623259190213,13.38290428820631,2.0672867367000487,10.962066648945523,2.099067408729285,9.812617478734483,8.88362579461561,4.559777959695775,7.401847376850349
0008_02,2,1.0,B/1/P,1,34.0,0,0.0,0.0,0.0,0.0,0.0,1,8,2,Altardr,Flatic,B,1,P,0.0,0.0,0.0,0.0,1,2.9060841918117704,0.22985623259190213,13.38290428820631,2.0672867367000487,10.962066648945523,2.099067408729285,9.812617478734483,8.88362579461561,4.559777959695775,7.401847376850349
0008_03,2,0.0,B/1/P,3,45.0,1,39.0,7295.0,589.0,110.0,124.0,1,8,3,Wezena,Flatic,B,1,P,8157.0,0.0,0.0,8157.0,0,3.2185195167012117,5.43355831052883,12.00148609218273,5.54304115210736,10.255354585390068,5.24230559999812,4.519178679277611,8.383722549465604,5.596631645792335,8.232484657071376
0009_01,3,0.0,F/1/P,1,32.0,0,73.0,0.0,1123.0,0.0,113.0,1,9,1,Berers,Barne,F,1,P,1309.0,1309.0,0.0,0.0,5,3.1748735686811957,1.8993266792905763,13.26810290584442,2.5181840863099128,8.99111690169518,0.20525166472421874,9.709313573430732,8.732518608239268,4.6668022687001205,7.2946044444400915
0010_01,1,0.0,G/1/S,1,48.0,0,719.0,1.0,65.0,0.0,24.0,0,10,1,Reney,Baketton,G,1,S,809.0,809.0,0.0,0.0,3,2.914521239410464,1.077320335199257,13.260670933308223,0.9111471001979006,10.769497338701969,2.1167352905048094,9.685427919631936,8.78356935579184,4.517098499411635,6.2459786744823695
0011_01,1,0.0,F/2/P,1,28.0,0,8.0,974.0,12.0,2.0,7.0,1,11,1,Elle,Bertsontry,F,2,P,1003.0,1003.0,0.0,0.0,1,2.284416551906173,0.6086402065570653,13.095269080102078,2.058285272786957,10.821829687552736,2.0828500704914856,9.106179123438286,8.6369276962925,4.339403296217301,7.285187630787178
0012_01,1,0.0,F/82/S,1,31.0,0,32.0,0.0,876.0,0.0,0.0,0,12,1,Justie,Pooles,F,82,S,908.0,908.0,0.0,0.0,5,3.053309255845658,1.4637884903788623,13.292917867531523,2.3203266784672705,9.441451004824389,0.6013405476236542,9.7285338671104,8.8108006057979,4.595608544777107,7.3219886502124085
0014_01,3,0.0,F/3/P,3,27.0,0,1286.0,122.0,8.0,0.0,0.0,0,14,1,Flats,Eccle,F,3,P,1416.0,0.0,0.0,1416.0,3,3.201613972706712,1.9783946542327182,13.228582341404794,0.2587299411773029,10.881232330032894,2.673754977103806,9.630599311023628,8.841438863708925,4.691634071538263,5.3497494023052345
0015_01,1,0.0,F/4/P,3,24.0,0,0.0,1.0,0.0,0.0,637.0,0,15,1,Carry,Hughriend,F,4,P,638.0,0.0,0.0,638.0,1,2.604566675561933,0.4810369215407108,13.244349471679438,2.067196497608787,10.89151936010717,2.1024706549608543,9.634167430471837,8.308288992461751,4.4224036394979365,7.335919994142524
0016_01,3,1.0,F/5/P,1,45.0,0,0.0,0.0,0.0,0.0,0.0,1,16,1,Alus,Upead,F,5,P,0.0,0.0,0.0,0.0,1,2.9060841918117704,0.22985623259190213,13.38290428820631,2.0672867367000487,10.962066648945523,2.099067408729285,9.812617478734483,8.88362579461561,4.559777959695775,7.401847376850349
0017_01,1,1.0,G/0/P,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1,17,1,Lyde,Brighttt,G,0,P,0.0,0.0,0.0,0.0,1,2.9060841918117704,0.22985623259190213,13.38290428820631,2.0672867367000487,10.962066648945523,2.099067408729285,9.812617478734483,8.88362579461561,4.559777959695775,7.401847376850349
0017_02,1,0.0,F/6/P,3,14.0,0,412.0,0.0,1.0,0.0,679.0,0,17,2,Philda,Brighttt,F,6,P,1092.0,0.0,0.0,1092.0,1,2.5624320271712024,0.8047429006087048,13.166169547324968,1.4513359525246659,10.83061533424241,2.119071159204485,9.549181616140508,8.215392105266464,4.373627044627596,6.679384513369629
0020_01,1,1.0,E/0/S,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0,20,1,Almary,Brantuarez,E,0,S,0.0,0.0,0.0,0.0,1,2.9060841918117704,0.22985623259190213,13.38290428820631,2.0672867367000487,10.962066648945523,2.099067408729285,9.812617478734483,8.88362579461561,4.559777959695775,7.401847376850349
